EmpID	Name	StoreID	HireDate	Role
E0216	Emp_0216	S014	2020-08-27	Stock
E0217	Emp_0217	S041	2021-02-11	Support
E0218	Emp_0218	S046	2020-08-25	Sales
E0219	Emp_0219	S024	2020-11-04	Stock
E0220	Emp_0220	S031	2018-09-28	Sales
E0221	Emp_0221	S014	2017-01-14	Support
E0222	Emp_0222	S024	2017-07-31	Cashier
E0223	Emp_0223	S021	2016-04-20	Sales
E0224	Emp_0224	S010	2022-04-18	Sales
E0225	Emp_0225	S017	2015-12-22	Support
E0226	Emp_0226	S028	2017-02-12	Sales
E0227	Emp_0227	S007	2018-03-21	Stock
E0228	Emp_0228	S049	2021-05-19	Support
E0229	Emp_0229	S007	2019-06-12	Sales
E0230	Emp_0230	S003	2022-09-10	Cashier
E0231	Emp_0231	S045	2016-06-05	Stock
E0232	Emp_0232	S014	2022-08-10	Support
E0233	Emp_0233	S014	2022-07-09	Cashier
E0234	Emp_0234	S012	2016-02-27	Stock
E0235	Emp_0235	S043	2018-12-15	Stock
E0236	Emp_0236	S041	2015-10-28	Stock
E0237	Emp_0237	S003	2015-06-03	Cashier
E0238	Emp_0238	S042	2017-06-26	Sales
E0239	Emp_0239	S013	2018-12-26	Sales
E0240	Emp_0240	S024	2020-06-05	Stock
E0241	Emp_0241	S046	2021-04-22	Cashier
E0242	Emp_0242	S033	2016-08-03	Sales
E0243	Emp_0243	S046	2016-06-13	Cashier
E0244	Emp_0244	S048	2021-08-29	Support
E0245	Emp_0245	S001	2015-08-04	Manager
E0246	Emp_0246	S040	2018-06-03	Support
E0247	Emp_0247	S006	2022-07-31	Cashier
E0248	Emp_0248	S047	2017-04-05	Cashier
E0249	Emp_0249	S027	2021-05-12	Sales
E0250	Emp_0250	S047	2021-11-04	Support
E0251	Emp_0251	S035	2016-06-20	Cashier
E0252	Emp_0252	S036	2018-09-09	Manager
E0253	Emp_0253	S035	2020-03-17	Stock
E0254	Emp_0254	S044	2021-07-13	Sales
E0255	Emp_0255	S019	2019-06-10	Cashier
E0256	Emp_0256	S038	2016-01-06	Manager
E0257	Emp_0257	S050	2019-07-14	Sales
E0258	Emp_0258	S043	2022-09-16	Sales
E0259	Emp_0259	S003	2016-12-23	Support
E0260	Emp_0260	S041	2020-06-20	Sales
E0261	Emp_0261	S044	2020-08-03	Cashier
E0262	Emp_0262	S005	2018-10-29	Support
E0263	Emp_0263	S002	2016-10-14	Cashier
E0264	Emp_0264	S015	2016-08-05	Manager
E0265	Emp_0265	S014	2020-01-16	Stock
E0266	Emp_0266	S024	2015-07-11	Support
E0267	Emp_0267	S008	2018-05-05	Support
E0268	Emp_0268	S021	2022-03-15	Stock
E0269	Emp_0269	S007	2015-02-12	Cashier
E0270	Emp_0270	S025	2022-11-18	Stock
E0271	Emp_0271	S038	2017-10-19	Manager
E0272	Emp_0272	S025	2019-02-19	Support
E0273	Emp_0273	S005	2021-04-29	Cashier
E0274	Emp_0274	S015	2019-07-30	Cashier
E0275	Emp_0275	S016	2020-11-04	Sales
E0276	Emp_0276	S007	2015-08-17	Stock
E0277	Emp_0277	S013	2022-01-09	Sales
E0278	Emp_0278	S032	2016-08-04	Manager
E0279	Emp_0279	S046	2017-09-02	Sales
E0280	Emp_0280	S031	2021-06-26	Sales
E0281	Emp_0281	S026	2017-08-31	Manager
E0282	Emp_0282	S038	2020-09-11	Cashier
E0283	Emp_0283	S038	2017-02-22	Manager
E0284	Emp_0284	S037	2016-02-05	Support
E0285	Emp_0285	S022	2017-07-17	Manager
E0286	Emp_0286	S001	2017-02-23	Support
E0287	Emp_0287	S025	2021-05-27	Sales
E0288	Emp_0288	S023	2021-11-19	Manager
E0289	Emp_0289	S049	2021-07-04	Sales
E0290	Emp_0290	S016	2021-04-08	Support
E0291	Emp_0291	S031	2019-08-03	Stock
E0292	Emp_0292	S014	2015-02-10	Sales
E0293	Emp_0293	S044	2020-09-04	Support
E0294	Emp_0294	S013	2015-03-30	Sales
E0295	Emp_0295	S030	2020-11-03	Manager
E0296	Emp_0296	S024	2019-04-17	Sales
E0297	Emp_0297	S040	2020-02-15	Stock
E0298	Emp_0298	S043	2018-03-07	Manager
E0299	Emp_0299	S037	2018-10-21	Support
E0300	Emp_0300	S010	2020-05-17	Cashier
E0301	Emp_0301	S016	2016-08-09	Stock
E0302	Emp_0302	S048	2017-12-31	Cashier
E0303	Emp_0303	S049	2020-11-26	Cashier
E0304	Emp_0304	S009	2018-11-05	Stock
E0305	Emp_0305	S022	2018-06-12	Manager
E0306	Emp_0306	S011	2017-06-05	Cashier
E0307	Emp_0307	S008	2016-03-09	Stock
E0308	Emp_0308	S040	2015-10-12	Cashier
E0309	Emp_0309	S045	2015-04-30	Cashier
E0310	Emp_0310	S030	2017-08-06	Cashier
E0311	Emp_0311	S023	2021-12-15	Stock
E0312	Emp_0312	S019	2022-05-05	Cashier
E0313	Emp_0313	S012	2020-11-28	Support
E0314	Emp_0314	S023	2021-01-26	Support
E0315	Emp_0315	S049	2019-04-12	Support
E0316	Emp_0316	S031	2016-09-19	Stock
E0317	Emp_0317	S050	2021-07-24	Sales
E0318	Emp_0318	S030	2019-08-02	Stock
E0319	Emp_0319	S030	2020-06-29	Stock
E0320	Emp_0320	S040	2019-04-29	Manager
E0321	Emp_0321	S015	2019-10-06	Cashier
E0322	Emp_0322	S037	2017-01-04	Cashier
E0323	Emp_0323	S045	2016-02-19	Stock
E0324	Emp_0324	S049	2018-01-30	Sales
E0325	Emp_0325	S012	2019-08-19	Stock
E0326	Emp_0326	S012	2021-07-06	Support
E0327	Emp_0327	S019	2019-07-05	Support
E0328	Emp_0328	S035	2017-07-19	Support
E0329	Emp_0329	S019	2016-03-19	Manager
E0330	Emp_0330	S049	2021-01-19	Manager
E0331	Emp_0331	S009	2021-06-23	Manager
E0332	Emp_0332	S029	2016-06-03	Cashier
E0333	Emp_0333	S011	2018-09-03	Support
E0334	Emp_0334	S020	2022-07-18	Manager
E0335	Emp_0335	S009	2016-08-25	Support
E0336	Emp_0336	S006	2021-04-25	Support
E0337	Emp_0337	S009	2017-03-13	Stock
E0338	Emp_0338	S028	2017-06-08	Sales
E0339	Emp_0339	S047	2022-11-03	Sales
E0340	Emp_0340	S047	2020-02-22	Stock
E0341	Emp_0341	S044	2016-09-21	Support
E0342	Emp_0342	S036	2018-07-09	Cashier
E0343	Emp_0343	S036	2020-05-26	Manager
E0344	Emp_0344	S048	2019-09-24	Stock
E0345	Emp_0345	S005	2018-12-21	Stock
E0346	Emp_0346	S048	2021-03-05	Manager
E0347	Emp_0347	S028	2019-07-17	Sales
E0348	Emp_0348	S003	2016-10-10	Cashier
E0349	Emp_0349	S047	2020-10-26	Stock
E0350	Emp_0350	S009	2022-08-10	Cashier
E0351	Emp_0351	S039	2020-07-08	Support
E0352	Emp_0352	S039	2021-01-29	Support
E0353	Emp_0353	S043	2022-12-29	Cashier
E0354	Emp_0354	S045	2020-12-25	Sales
E0355	Emp_0355	S023	2016-06-02	Cashier
E0356	Emp_0356	S015	2021-04-05	Manager
E0357	Emp_0357	S020	2021-09-30	Manager
E0358	Emp_0358	S036	2022-05-05	Manager
E0359	Emp_0359	S011	2021-03-12	Sales
E0360	Emp_0360	S022	2017-08-03	Stock
E0361	Emp_0361	S008	2018-03-06	Manager
E0362	Emp_0362	S043	2017-04-30	Stock
E0363	Emp_0363	S032	2016-11-11	Support
E0364	Emp_0364	S039	2020-10-11	Cashier
E0365	Emp_0365	S022	2015-03-28	Cashier
E0366	Emp_0366	S033	2016-08-06	Sales
E0367	Emp_0367	S006	2018-02-19	Support
E0368	Emp_0368	S042	2022-05-24	Cashier
E0369	Emp_0369	S015	2018-08-26	Sales
E0370	Emp_0370	S014	2019-08-04	Sales
E0371	Emp_0371	S020	2016-08-03	Manager
E0372	Emp_0372	S009	2020-12-26	Manager
E0373	Emp_0373	S003	2019-11-10	Stock
E0374	Emp_0374	S046	2019-02-08	Support
E0375	Emp_0375	S024	2017-09-13	Sales
E0376	Emp_0376	S025	2015-02-23	Support
E0377	Emp_0377	S024	2019-04-01	Manager
E0378	Emp_0378	S018	2018-02-20	Support
E0379	Emp_0379	S028	2021-01-29	Stock
E0380	Emp_0380	S049	2016-03-15	Manager
E0381	Emp_0381	S012	2015-10-30	Stock
E0382	Emp_0382	S013	2017-09-01	Sales
E0383	Emp_0383	S013	2016-01-27	Support
E0384	Emp_0384	S035	2019-05-30	Support
E0385	Emp_0385	S029	2021-04-15	Manager
E0386	Emp_0386	S023	2020-09-27	Manager
E0387	Emp_0387	S003	2015-05-17	Manager
E0388	Emp_0388	S012	2020-07-25	Support
E0389	Emp_0389	S043	2021-12-02	Stock
E0390	Emp_0390	S002	2020-03-23	Manager
E0391	Emp_0391	S018	2018-06-15	Support
E0392	Emp_0392	S045	2020-03-28	Support
E0393	Emp_0393	S023	2018-05-06	Support
E0394	Emp_0394	S034	2019-02-17	Stock
E0395	Emp_0395	S050	2017-07-17	Manager
E0396	Emp_0396	S021	2019-08-30	Stock
E0397	Emp_0397	S037	2016-05-21	Sales
E0398	Emp_0398	S016	2015-10-06	Support
E0399	Emp_0399	S023	2022-11-17	Support
E0400	Emp_0400	S008	2022-04-04	Support
E0401	Emp_0401	S035	2015-04-27	Sales
E0402	Emp_0402	S016	2015-11-28	Support
E0403	Emp_0403	S042	2020-12-29	Stock
E0404	Emp_0404	S009	2019-05-05	Manager
E0405	Emp_0405	S025	2018-11-29	Cashier
E0406	Emp_0406	S039	2021-08-28	Manager
E0407	Emp_0407	S032	2016-01-31	Sales
E0408	Emp_0408	S027	2021-07-03	Stock
E0409	Emp_0409	S042	2019-08-01	Stock
E0410	Emp_0410	S020	2017-08-15	Cashier
E0411	Emp_0411	S005	2015-01-24	Cashier
E0412	Emp_0412	S013	2015-09-07	Cashier
E0413	Emp_0413	S050	2018-08-09	Sales
E0414	Emp_0414	S023	2022-11-21	Stock
E0415	Emp_0415	S035	2022-02-13	Stock
E0416	Emp_0416	S036	2016-07-29	Stock
E0417	Emp_0417	S035	2019-10-12	Manager
E0418	Emp_0418	S045	2019-01-26	Manager
E0419	Emp_0419	S010	2019-01-26	Sales
E0420	Emp_0420	S045	2021-09-22	Manager
E0421	Emp_0421	S035	2017-05-26	Support
E0422	Emp_0422	S031	2021-08-23	Cashier
E0423	Emp_0423	S028	2022-07-02	Stock
E0424	Emp_0424	S019	2021-08-07	Manager
E0425	Emp_0425	S024	2019-02-25	Cashier
E0426	Emp_0426	S048	2018-04-20	Stock
E0427	Emp_0427	S032	2016-10-29	Cashier
E0428	Emp_0428	S011	2015-12-26	Sales
E0429	Emp_0429	S008	2022-07-13	Support
E0430	Emp_0430	S014	2021-10-02	Sales
E0431	Emp_0431	S025	2018-09-25	Manager
E0432	Emp_0432	S027	2018-06-18	Manager
E0433	Emp_0433	S043	2016-12-31	Manager
E0434	Emp_0434	S034	2017-01-12	Manager
E0435	Emp_0435	S031	2018-12-19	Stock
E0436	Emp_0436	S047	2022-05-20	Cashier
E0437	Emp_0437	S031	2015-10-03	Support
E0438	Emp_0438	S045	2022-03-28	Sales
E0439	Emp_0439	S020	2022-11-23	Manager
E0440	Emp_0440	S015	2016-02-21	Sales
E0441	Emp_0441	S020	2017-07-03	Stock
E0442	Emp_0442	S024	2019-01-07	Manager
E0443	Emp_0443	S017	2019-04-27	Manager
E0444	Emp_0444	S038	2016-06-25	Stock
E0445	Emp_0445	S001	2015-05-06	Cashier
E0446	Emp_0446	S031	2020-04-12	Manager
E0447	Emp_0447	S027	2022-02-10	Support
E0448	Emp_0448	S008	2022-02-25	Manager
E0449	Emp_0449	S024	2022-03-28	Cashier
E0450	Emp_0450	S021	2017-01-02	Manager
E0451	Emp_0451	S010	2017-07-17	Sales
E0452	Emp_0452	S024	2018-09-07	Cashier
E0453	Emp_0453	S049	2021-09-20	Manager
E0454	Emp_0454	S047	2019-05-27	Stock
E0455	Emp_0455	S026	2020-06-10	Sales
E0456	Emp_0456	S031	2020-08-21	Stock
E0457	Emp_0457	S041	2020-05-24	Stock
E0458	Emp_0458	S019	2019-07-08	Sales
E0459	Emp_0459	S008	2017-10-06	Manager
E0460	Emp_0460	S032	2020-01-28	Cashier
E0461	Emp_0461	S007	2020-06-22	Cashier
E0462	Emp_0462	S017	2022-10-23	Cashier
E0463	Emp_0463	S044	2022-09-30	Support
E0464	Emp_0464	S028	2018-11-17	Support
E0465	Emp_0465	S028	2022-04-07	Support
E0466	Emp_0466	S002	2021-08-05	Cashier
E0467	Emp_0467	S017	2019-05-23	Manager
E0468	Emp_0468	S036	2019-08-16	Stock
E0469	Emp_0469	S008	2021-06-29	Support
E0470	Emp_0470	S048	2018-10-23	Sales
E0471	Emp_0471	S017	2018-02-09	Support
E0472	Emp_0472	S047	2020-05-04	Support
E0473	Emp_0473	S027	2020-04-26	Support
E0474	Emp_0474	S027	2015-10-22	Support
E0475	Emp_0475	S049	2016-08-20	Sales
E0476	Emp_0476	S024	2017-01-08	Manager
E0477	Emp_0477	S025	2016-08-21	Stock
E0478	Emp_0478	S037	2015-04-18	Stock
E0479	Emp_0479	S049	2018-03-27	Manager
E0480	Emp_0480	S045	2020-07-08	Manager
E0481	Emp_0481	S015	2016-08-04	Manager
E0482	Emp_0482	S029	2022-06-28	Cashier
E0483	Emp_0483	S006	2015-06-09	Stock
E0484	Emp_0484	S006	2019-10-11	Cashier
E0485	Emp_0485	S027	2020-05-08	Support
E0486	Emp_0486	S032	2018-09-21	Support
E0487	Emp_0487	S022	2017-06-07	Sales
E0488	Emp_0488	S021	2015-06-03	Stock
E0489	Emp_0489	S021	2018-05-15	Manager
E0490	Emp_0490	S019	2021-12-31	Sales
E0491	Emp_0491	S010	2019-04-01	Support
E0492	Emp_0492	S022	2015-08-24	Sales
E0493	Emp_0493	S036	2020-04-17	Sales
E0494	Emp_0494	S032	2021-08-20	Support
E0495	Emp_0495	S018	2017-05-04	Stock
E0496	Emp_0496	S031	2015-06-30	Support
E0497	Emp_0497	S040	2016-06-27	Cashier
E0498	Emp_0498	S012	2020-10-26	Sales
E0499	Emp_0499	S022	2021-12-05	Stock
E0500	Emp_0500	S018	2017-04-22	Stock
