TransactionID	Date	StoreID	StoreName	Region	ProductID	ProductName	Category	Quantity	UnitPrice	Discount	NetSale	TotalCost	Profit
T1000038	2024-05-22	S045	Store_045	East	P0059	Prod_0059	Household	2	250.7	0.0			
T1000039	2023-07-13	S039	Store_039	Central	P0147	Prod_0147	Stationery	5	255.54	0.0			
T1000040	2023-05-03	S043	Store_043	North	P0101	Prod_0101	Clothing	7	607.35	0.0			
T1000041	2023-02-16	S040	Store_040	East	P0026	Prod_0026	Stationery	5	164.61	0.0			
T1000042	2023-02-19	S030	Store_030	North	P0175	Prod_0175	Beverages	7	997.49	0.0			
T1000043	2024-08-13	S020	Store_020	North	P0087	Prod_0087	Beverages	9	695.95	0.0			
T1000044	2025-03-19	S035	Store_035	West	P0130	Prod_0130	Toys	7	883.02	0.0			
T1000045	2023-09-09	S023	Store_023	South	P0022	Prod_0022	Toys	4	542.02	0.0			
T1000046	2023-01-16	S020	Store_020	North	P0195	Prod_0195	Beverages	3	401.07	0.05			
T1000047	2023-08-16	S007	Store_007	Central	P0014	Prod_0014	Household	2	383.14	0.0			
T1000048	2024-07-26	S006	Store_006	East	P0075	Prod_0075	Food	2	618.12	0.05			
T1000049	2023-03-14	S027	Store_027	East	P0101	Prod_0101	Clothing	9	456.11	0.0			
T1000050	2023-11-19	S005	Store_005	South	P0196	Prod_0196	Food	4	546.72	0.1			
T1000051	2024-09-20	S013	Store_013	East	P0105	Prod_0105	Food	4	773.17	0.0			
T1000052	2024-10-10	S040	Store_040	East	P0049	Prod_0049	Electronics	4	64.96	0.1			
T1000053	2024-01-13	S018	Store_018	North	P0180	Prod_0180	Household	5	234.88	0.0			
T1000054	2024-09-27	S034	Store_034	East	P0145	Prod_0145	Household	7	174.92	0.05			
T1000055	2024-07-10	S032	Store_032	West	P0040	Prod_0040	Stationery	2	428.96	0.0			
T1000056	2023-11-25	S002	Store_002	West	P0199	Prod_0199	Beverages	1	676.99	0.1			
T1000057	2024-04-26	S011	Store_011	Central	P0013	Prod_0013	Electronics	4	661.11	0.05			
T1000058	2025-07-11	S025	Store_025	South	P0133	Prod_0133	Electronics	4	607.9	0.15			
T1000059	2025-01-23	S017	Store_017	Central	P0146	Prod_0146	Electronics	5	282.07	0.05			
T1000060	2024-06-28	S008	Store_008	East	P0055	Prod_0055	Clothing	4	39.15	0.15			
T1000061	2024-06-26	S013	Store_013	East	P0188	Prod_0188	Food	8	356.91	0.0			
T1000062	2023-11-23	S023	Store_023	South	P0124	Prod_0124	Clothing	2	757.96	0.1			
T1000063	2023-12-02	S037	Store_037	West	P0033	Prod_0033	Household	3	728.8	0.0			
T1000064	2024-04-16	S001	Store_001	West	P0198	Prod_0198	Food	7	566.56	0.0			
T1000065	2025-08-17	S005	Store_005	South	P0156	Prod_0156	Clothing	1	145.11	0.05			
T1000066	2023-08-15	S024	Store_024	Central	P0102	Prod_0102	Beverages	2	110.31	0.0			
T1000067	2023-01-06	S012	Store_012	North	P0010	Prod_0010	Food	3	106.39	0.05			
T1000068	2025-09-10	S024	Store_024	Central	P0183	Prod_0183	Clothing	6	512.6	0.0			
T1000069	2023-08-01	S008	Store_008	East	P0026	Prod_0026	Stationery	4	141.69	0.0			
T1000070	2024-08-29	S019	Store_019	South	P0127	Prod_0127	Beverages	4	786.97	0.0			
T1000071	2024-05-27	S012	Store_012	North	P0193	Prod_0193	Household	1	318.11	0.0			
T1000072	2023-12-05	S039	Store_039	Central	P0020	Prod_0020	Food	5	824.02	0.1			
T1000073	2025-07-07	S021	Store_021	East	P0054	Prod_0054	Clothing	4	59.28	0.0			
T1000074	2025-02-28	S030	Store_030	North	P0164	Prod_0164	Household	3	80.68	0.2			
T1000075	2024-10-21	S015	Store_015	South	P0170	Prod_0170	Beverages	6	550.59	0.0			
T1000076	2025-09-13	S025	Store_025	South	P0012	Prod_0012	Toys	4	725.8	0.1			
T1000077	2023-10-13	S045	Store_045	East	P0031	Prod_0031	Food	1	490.52	0.05			
T1000078	2024-04-06	S044	Store_044	Central	P0031	Prod_0031	Food	9	547.08	0.15			
T1000079	2024-09-12	S009	Store_009	South	P0156	Prod_0156	Clothing	8	194.17	0.0			
T1000080	2023-03-19	S041	Store_041	South	P0118	Prod_0118	Clothing	8	893.63	0.2			
T1000081	2023-07-08	S050	Store_050	South	P0123	Prod_0123	Stationery	3	473.9	0.0			
T1000082	2024-03-16	S002	Store_002	West	P0146	Prod_0146	Electronics	4	256.85	0.0			
T1000083	2023-12-21	S032	Store_032	West	P0096	Prod_0096	Electronics	5	208.51	0.0			
T1000084	2024-03-29	S025	Store_025	South	P0058	Prod_0058	Beverages	3	212.2	0.0			
T1000085	2024-09-30	S023	Store_023	South	P0003	Prod_0003	Food	7	486.0	0.15			
T1000086	2025-04-24	S036	Store_036	North	P0157	Prod_0157	Toys	9	273.06	0.0			
T1000087	2023-07-25	S005	Store_005	South	P0024	Prod_0024	Household	9	138.6	0.0			
T1000088	2025-01-16	S005	Store_005	South	P0106	Prod_0106	Stationery	2	851.93	0.1			
T1000089	2024-05-11	S044	Store_044	Central	P0076	Prod_0076	Food	6	519.93	0.0			
T1000090	2024-09-03	S024	Store_024	Central	P0134	Prod_0134	Beverages	6	395.75	0.0			
T1000091	2024-02-14	S029	Store_029	East	P0091	Prod_0091	Toys	9	595.31	0.05			
T1000092	2023-10-16	S004	Store_004	Central	P0119	Prod_0119	Clothing	3	1048.26	0.0			
T1000093	2024-11-13	S007	Store_007	Central	P0003	Prod_0003	Food	6	509.05	0.0			
T1000094	2023-08-30	S041	Store_041	South	P0065	Prod_0065	Beverages	6	537.99	0.0			
T1000095	2023-01-23	S041	Store_041	South	P0015	Prod_0015	Food	4	974.82	0.05			
T1000096	2023-10-06	S033	Store_033	Central	P0085	Prod_0085	Food	4	634.43	0.05			
T1000097	2024-04-13	S001	Store_001	West	P0176	Prod_0176	Toys	1	1050.16	0.2			
T1000098	2023-11-23	S014	Store_014	West	P0082	Prod_0082	Food	2	631.4	0.05			
T1000099	2024-12-19	S045	Store_045	East	P0073	Prod_0073	Beverages	5	649.83	0.0			
T1000100	2024-07-26	S023	Store_023	South	P0040	Prod_0040	Stationery	9	504.03	0.05			
T1000101	2023-11-27	S041	Store_041	South	P0006	Prod_0006	Household	2	89.69	0.0			
T1000102	2023-07-16	S014	Store_014	West	P0153	Prod_0153	Clothing	7	340.89	0.0			
T1000103	2023-04-16	S025	Store_025	South	P0031	Prod_0031	Food	4	466.38	0.0			
T1000104	2025-02-28	S049	Store_049	East	P0194	Prod_0194	Food	1	469.52	0.05			
T1000105	2024-10-10	S021	Store_021	East	P0013	Prod_0013	Electronics	1	561.22	0.1			
T1000106	2023-03-22	S030	Store_030	North	P0049	Prod_0049	Electronics	8	50.15	0.0			
T1000107	2023-07-12	S039	Store_039	Central	P0009	Prod_0009	Food	9	872.73	0.0			
T1000108	2024-11-14	S001	Store_001	West	P0057	Prod_0057	Food	1	539.2	0.0			
T1000109	2024-02-27	S021	Store_021	East	P0137	Prod_0137	Food	5	531.01	0.0			
T1000110	2023-03-08	S046	Store_046	East	P0039	Prod_0039	Clothing	3	465.79	0.0			
T1000111	2024-01-09	S028	Store_028	South	P0094	Prod_0094	Toys	9	282.81	0.0			
T1000112	2024-10-23	S027	Store_027	East	P0012	Prod_0012	Toys	4	637.33	0.0			
T1000113	2023-05-20	S026	Store_026	North	P0195	Prod_0195	Beverages	2	326.4	0.05			
T1000114	2024-10-09	S030	Store_030	North	P0089	Prod_0089	Stationery	5	725.59	0.0			
T1000115	2023-01-16	S024	Store_024	Central	P0198	Prod_0198	Food	1	597.0	0.05			
T1000116	2024-01-29	S037	Store_037	West	P0022	Prod_0022	Toys	9	505.97	0.0			
T1000117	2025-01-26	S028	Store_028	South	P0039	Prod_0039	Clothing	4	401.79	0.05			
T1000118	2024-04-23	S048	Store_048	North	P0167	Prod_0167	Food	3	563.23	0.15			
T1000119	2023-04-15	S024	Store_024	Central	P0052	Prod_0052	Beverages	4	190.95	0.1			
T1000120	2025-04-23	S043	Store_043	North	P0051	Prod_0051	Toys	4	281.13	0.0			
T1000121	2024-05-25	S021	Store_021	East	P0149	Prod_0149	Food	4	356.38	0.0			
T1000122	2023-08-21	S003	Store_003	North	P0086	Prod_0086	Clothing	3	544.39	0.0			
T1000123	2023-09-10	S023	Store_023	South	P0113	Prod_0113	Stationery	7	86.21	0.1			
T1000124	2024-07-23	S038	Store_038	Central	P0152	Prod_0152	Toys	4	73.65	0.0			
T1000125	2023-07-27	S022	Store_022	East	P0009	Prod_0009	Food	9	725.88	0.0			
T1000126	2023-06-18	S044	Store_044	Central	P0127	Prod_0127	Beverages	5	735.07	0.0			
T1000127	2024-03-24	S034	Store_034	East	P0107	Prod_0107	Clothing	4	526.52	0.0			
T1000128	2024-01-24	S047	Store_047	East	P0125	Prod_0125	Beverages	6	906.0	0.0			
T1000129	2023-07-23	S004	Store_004	Central	P0098	Prod_0098	Food	5	191.5	0.0			
T1000130	2024-01-18	S024	Store_024	Central	P0003	Prod_0003	Food	9	605.34	0.2			
T1000131	2024-03-16	S022	Store_022	East	P0060	Prod_0060	Beverages	3	85.77	0.2			
T1000132	2024-07-03	S006	Store_006	East	P0187	Prod_0187	Beverages	1	610.15	0.0			
T1000133	2025-01-25	S004	Store_004	Central	P0070	Prod_0070	Toys	5	130.54	0.2			
T1000134	2025-01-10	S023	Store_023	South	P0188	Prod_0188	Food	9	485.84	0.0			
T1000135	2024-11-13	S013	Store_013	East	P0101	Prod_0101	Clothing	3	578.98	0.05			
T1000136	2023-07-08	S009	Store_009	South	P0176	Prod_0176	Toys	2	701.96	0.0			
T1000137	2023-01-13	S030	Store_030	North	P0119	Prod_0119	Clothing	9	847.72	0.0			
T1000138	2023-01-18	S013	Store_013	East	P0196	Prod_0196	Food	9	615.35	0.0			
T1000139	2023-02-24	S023	Store_023	South	P0157	Prod_0157	Toys	7	267.15	0.0			
T1000140	2024-11-30	S024	Store_024	Central	P0119	Prod_0119	Clothing	2	1031.07	0.0			
T1000141	2023-11-17	S011	Store_011	Central	P0135	Prod_0135	Food	3	116.71	0.05			
T1000142	2024-03-20	S041	Store_041	South	P0104	Prod_0104	Food	3	84.52	0.0			
T1000143	2024-08-28	S019	Store_019	South	P0056	Prod_0056	Food	5	391.42	0.0			
T1000144	2025-07-09	S022	Store_022	East	P0081	Prod_0081	Electronics	9	464.59	0.2			
T1000145	2023-01-23	S010	Store_010	South	P0154	Prod_0154	Food	8	661.9	0.05			
T1000146	2024-02-15	S004	Store_004	Central	P0200	Prod_0200	Food	6	208.53	0.0			
T1000147	2024-10-27	S031	Store_031	South	P0071	Prod_0071	Household	9	244.07	0.1			
T1000148	2023-11-19	S048	Store_048	North	P0069	Prod_0069	Household	7	507.0	0.0			
T1000149	2023-08-27	S046	Store_046	East	P0079	Prod_0079	Clothing	6	340.38	0.0			
T1000150	2023-01-26	S021	Store_021	East	P0120	Prod_0120	Electronics	3	363.11	0.0			
T1000151	2025-04-10	S044	Store_044	Central	P0005	Prod_0005	Food	8	256.02	0.0			
T1000152	2024-06-21	S015	Store_015	South	P0183	Prod_0183	Clothing	4	479.06	0.0			
T1000153	2024-07-21	S038	Store_038	Central	P0052	Prod_0052	Beverages	6	223.87	0.0			
T1000154	2025-05-15	S033	Store_033	Central	P0170	Prod_0170	Beverages	6	560.33	0.15			
T1000155	2023-12-18	S016	Store_016	Central	P0095	Prod_0095	Household	9	244.46	0.1			
T1000156	2025-07-23	S017	Store_017	Central	P0152	Prod_0152	Toys	8	53.98	0.05			
T1000157	2025-06-20	S041	Store_041	South	P0161	Prod_0161	Beverages	5	206.55	0.0			
T1000158	2025-01-13	S031	Store_031	South	P0131	Prod_0131	Toys	5	164.75	0.0			
T1000159	2024-02-18	S008	Store_008	East	P0115	Prod_0115	Beverages	4	831.29	0.15			
T1000160	2023-08-10	S032	Store_032	West	P0199	Prod_0199	Beverages	3	836.39	0.0			
T1000161	2025-02-22	S020	Store_020	North	P0173	Prod_0173	Household	9	430.81	0.0			
T1000162	2024-12-18	S008	Store_008	East	P0172	Prod_0172	Beverages	3	691.65	0.0			
T1000163	2024-03-27	S040	Store_040	East	P0090	Prod_0090	Clothing	1	480.98	0.0			
T1000164	2024-08-06	S025	Store_025	South	P0118	Prod_0118	Clothing	3	844.83	0.0			
T1000165	2025-08-30	S021	Store_021	East	P0163	Prod_0163	Food	7	746.83	0.15			
T1000166	2025-01-17	S015	Store_015	South	P0064	Prod_0064	Beverages	7	48.63	0.0			
T1000167	2025-05-08	S038	Store_038	Central	P0155	Prod_0155	Household	8	646.19	0.0			
T1000168	2024-10-24	S035	Store_035	West	P0078	Prod_0078	Beverages	9	865.2	0.15			
T1000169	2024-10-24	S035	Store_035	West	P0128	Prod_0128	Toys	2	312.12	0.2			
T1000170	2025-03-15	S029	Store_029	East	P0126	Prod_0126	Food	6	616.97	0.0			
T1000171	2025-06-18	S039	Store_039	Central	P0121	Prod_0121	Toys	4	718.55	0.0			
T1000172	2025-06-09	S019	Store_019	South	P0200	Prod_0200	Food	4	234.22	0.05			
T1000173	2024-05-02	S009	Store_009	South	P0061	Prod_0061	Stationery	8	482.64	0.1			
T1000174	2023-04-16	S045	Store_045	East	P0164	Prod_0164	Household	2	91.03	0.2			
T1000175	2024-07-27	S009	Store_009	South	P0095	Prod_0095	Household	9	217.32	0.05			
T1000176	2023-09-15	S018	Store_018	North	P0090	Prod_0090	Clothing	6	406.31	0.0			
T1000177	2025-06-29	S033	Store_033	Central	P0097	Prod_0097	Toys	9	689.72	0.0			
T1000178	2024-11-03	S045	Store_045	East	P0168	Prod_0168	Clothing	3	665.9	0.0			
T1000179	2024-08-08	S004	Store_004	Central	P0173	Prod_0173	Household	8	528.33	0.0			
T1000180	2025-09-18	S001	Store_001	West	P0035	Prod_0035	Beverages	3	328.92	0.05			
T1000181	2023-11-09	S043	Store_043	North	P0009	Prod_0009	Food	2	750.45	0.1			
T1000182	2023-04-06	S021	Store_021	East	P0146	Prod_0146	Electronics	4	254.14	0.1			
T1000183	2023-06-03	S028	Store_028	South	P0124	Prod_0124	Clothing	9	1005.92	0.2			
T1000184	2025-03-07	S025	Store_025	South	P0091	Prod_0091	Toys	4	651.54	0.0			
T1000185	2024-12-15	S045	Store_045	East	P0113	Prod_0113	Stationery	4	61.92	0.0			
T1000186	2023-09-13	S021	Store_021	East	P0154	Prod_0154	Food	2	933.37	0.0			
T1000187	2025-03-06	S046	Store_046	East	P0048	Prod_0048	Toys	9	227.89	0.1			
T1000188	2024-01-13	S001	Store_001	West	P0050	Prod_0050	Beverages	1	556.39	0.05			
T1000189	2025-07-17	S032	Store_032	West	P0183	Prod_0183	Clothing	2	572.46	0.0			
T1000190	2024-06-28	S013	Store_013	East	P0157	Prod_0157	Toys	5	270.77	0.0			
T1000191	2023-04-12	S009	Store_009	South	P0167	Prod_0167	Food	4	693.99	0.15			
T1000192	2024-12-21	S005	Store_005	South	P0120	Prod_0120	Electronics	5	530.14	0.0			
T1000193	2025-07-22	S034	Store_034	East	P0160	Prod_0160	Toys	9	259.5	0.0			
T1000194	2024-11-16	S012	Store_012	North	P0030	Prod_0030	Electronics	1	700.31	0.0			
T1000195	2023-05-20	S028	Store_028	South	P0155	Prod_0155	Household	6	610.13	0.0			
T1000196	2024-12-16	S011	Store_011	Central	P0082	Prod_0082	Food	8	792.58	0.0			
T1000197	2023-08-06	S034	Store_034	East	P0113	Prod_0113	Stationery	2	81.53	0.0			
T1000198	2023-02-03	S043	Store_043	North	P0178	Prod_0178	Food	6	869.31	0.05			
T1000199	2023-10-23	S018	Store_018	North	P0125	Prod_0125	Beverages	7	861.91	0.0			
T1000200	2024-05-02	S035	Store_035	West	P0015	Prod_0015	Food	4	778.3	0.0			
T1000201	2023-12-18	S018	Store_018	North	P0128	Prod_0128	Toys	3	222.84	0.1			
T1000202	2025-03-24	S001	Store_001	West	P0158	Prod_0158	Electronics	3	378.01	0.1			
T1000203	2024-02-10	S004	Store_004	Central	P0043	Prod_0043	Toys	1	59.04	0.1			
T1000204	2025-05-31	S017	Store_017	Central	P0192	Prod_0192	Food	2	774.53	0.05			
T1000205	2024-08-07	S006	Store_006	East	P0195	Prod_0195	Beverages	4	427.05	0.0			
T1000206	2024-09-22	S010	Store_010	South	P0020	Prod_0020	Food	8	772.09	0.2			
T1000207	2025-07-22	S019	Store_019	South	P0001	Prod_0001	Electronics	8	624.92	0.0			
T1000208	2023-01-25	S040	Store_040	East	P0149	Prod_0149	Food	8	256.58	0.2			
T1000209	2023-05-24	S044	Store_044	Central	P0069	Prod_0069	Household	6	416.86	0.1			
T1000210	2024-06-25	S004	Store_004	Central	P0137	Prod_0137	Food	6	438.89	0.05			
T1000211	2023-07-05	S041	Store_041	South	P0049	Prod_0049	Electronics	2	46.73	0.0			
T1000212	2025-08-28	S048	Store_048	North	P0063	Prod_0063	Toys	3	140.58	0.05			
T1000213	2023-01-20	S044	Store_044	Central	P0118	Prod_0118	Clothing	3	948.71	0.05			
T1000214	2025-05-30	S037	Store_037	West	P0109	Prod_0109	Electronics	5	744.57	0.0			
T1000215	2025-01-12	S017	Store_017	Central	P0157	Prod_0157	Toys	6	378.25	0.0			
T1000216	2024-10-13	S004	Store_004	Central	P0023	Prod_0023	Beverages	4	670.91	0.0			
T1000217	2023-08-02	S045	Store_045	East	P0076	Prod_0076	Food	3	666.11	0.0			
T1000218	2024-08-14	S012	Store_012	North	P0023	Prod_0023	Beverages	4	827.38	0.0			
T1000219	2023-12-07	S047	Store_047	East	P0152	Prod_0152	Toys	5	49.79	0.0			
T1000220	2025-05-11	S022	Store_022	East	P0167	Prod_0167	Food	9	687.18	0.1			
T1000221	2023-03-31	S013	Store_013	East	P0189	Prod_0189	Household	5	641.99	0.0			
T1000222	2024-04-12	S049	Store_049	East	P0153	Prod_0153	Clothing	8	320.22	0.1			
T1000223	2023-10-27	S028	Store_028	South	P0035	Prod_0035	Beverages	9	252.75	0.0			
T1000224	2025-02-23	S038	Store_038	Central	P0184	Prod_0184	Electronics	4	633.2	0.05			
T1000225	2025-04-21	S049	Store_049	East	P0142	Prod_0142	Clothing	2	604.88	0.0			
T1000226	2024-05-17	S034	Store_034	East	P0102	Prod_0102	Beverages	2	139.95	0.2			
T1000227	2023-08-30	S045	Store_045	East	P0158	Prod_0158	Electronics	8	507.0	0.0			
T1000228	2025-01-07	S023	Store_023	South	P0061	Prod_0061	Stationery	7	533.13	0.0			
T1000229	2024-07-16	S006	Store_006	East	P0191	Prod_0191	Food	7	529.52	0.0			
T1000230	2023-10-29	S013	Store_013	East	P0141	Prod_0141	Household	4	287.91	0.0			
T1000231	2023-10-11	S039	Store_039	Central	P0065	Prod_0065	Beverages	6	461.63	0.0			
T1000232	2024-01-21	S007	Store_007	Central	P0007	Prod_0007	Household	9	441.56	0.1			
T1000233	2023-02-07	S012	Store_012	North	P0082	Prod_0082	Food	2	755.87	0.1			
T1000234	2023-11-20	S039	Store_039	Central	P0134	Prod_0134	Beverages	7	329.9	0.0			
T1000235	2025-08-01	S041	Store_041	South	P0200	Prod_0200	Food	9	180.28	0.0			
T1000236	2023-06-25	S036	Store_036	North	P0096	Prod_0096	Electronics	9	205.44	0.0			
T1000237	2023-06-10	S026	Store_026	North	P0040	Prod_0040	Stationery	7	522.76	0.0			
T1000238	2024-02-28	S013	Store_013	East	P0025	Prod_0025	Beverages	5	231.16	0.0			
T1000239	2023-03-05	S002	Store_002	West	P0034	Prod_0034	Food	3	170.65	0.0			
T1000240	2025-07-11	S049	Store_049	East	P0003	Prod_0003	Food	2	539.45	0.0			
T1000241	2024-04-06	S027	Store_027	East	P0189	Prod_0189	Household	7	888.05	0.15			
T1000242	2025-03-03	S007	Store_007	Central	P0143	Prod_0143	Food	1	635.29	0.0			
T1000243	2025-06-19	S018	Store_018	North	P0130	Prod_0130	Toys	5	875.44	0.15			
T1000244	2023-02-21	S022	Store_022	East	P0072	Prod_0072	Household	4	319.18	0.15			
T1000245	2023-02-01	S024	Store_024	Central	P0166	Prod_0166	Food	5	741.18	0.05			
T1000246	2024-07-11	S020	Store_020	North	P0199	Prod_0199	Beverages	3	658.85	0.15			
T1000247	2023-01-17	S049	Store_049	East	P0173	Prod_0173	Household	1	597.39	0.0			
T1000248	2025-02-12	S028	Store_028	South	P0117	Prod_0117	Beverages	1	909.73	0.0			
T1000249	2024-06-28	S022	Store_022	East	P0113	Prod_0113	Stationery	9	91.84	0.1			
T1000250	2023-10-18	S016	Store_016	Central	P0191	Prod_0191	Food	9	489.22	0.0			
T1000251	2023-12-04	S033	Store_033	Central	P0084	Prod_0084	Electronics	7	286.87	0.05			
T1000252	2024-08-31	S042	Store_042	East	P0160	Prod_0160	Toys	3	217.78	0.0			
T1000253	2023-05-15	S028	Store_028	South	P0120	Prod_0120	Electronics	5	560.99	0.0			
T1000254	2023-03-27	S015	Store_015	South	P0084	Prod_0084	Electronics	5	298.6	0.0			
T1000255	2025-01-17	S049	Store_049	East	P0188	Prod_0188	Food	9	513.19	0.0			
T1000256	2025-05-28	S049	Store_049	East	P0160	Prod_0160	Toys	5	253.94	0.0			
T1000257	2025-07-17	S041	Store_041	South	P0050	Prod_0050	Beverages	6	576.52	0.0			
T1000258	2023-03-19	S036	Store_036	North	P0034	Prod_0034	Food	8	229.31	0.0			
T1000259	2024-12-27	S022	Store_022	East	P0080	Prod_0080	Beverages	9	43.55	0.0			
T1000260	2024-06-13	S005	Store_005	South	P0011	Prod_0011	Electronics	3	416.35	0.05			
T1000261	2023-04-27	S046	Store_046	East	P0117	Prod_0117	Beverages	5	666.08	0.0			
T1000262	2025-02-23	S032	Store_032	West	P0029	Prod_0029	Beverages	2	780.82	0.05			
T1000263	2024-07-25	S007	Store_007	Central	P0010	Prod_0010	Food	2	131.39	0.0			
T1000264	2023-04-14	S009	Store_009	South	P0049	Prod_0049	Electronics	9	71.45	0.05			
T1000265	2024-05-05	S050	Store_050	South	P0064	Prod_0064	Beverages	4	73.61	0.0			
T1000266	2024-09-09	S030	Store_030	North	P0106	Prod_0106	Stationery	9	844.32	0.0			
T1000267	2025-02-07	S019	Store_019	South	P0159	Prod_0159	Toys	3	403.63	0.0			
T1000268	2023-12-13	S037	Store_037	West	P0024	Prod_0024	Household	2	127.04	0.2			
T1000269	2023-09-09	S031	Store_031	South	P0107	Prod_0107	Clothing	5	681.29	0.15			
T1000270	2025-05-07	S041	Store_041	South	P0056	Prod_0056	Food	5	386.8	0.0			
T1000271	2023-02-21	S008	Store_008	East	P0188	Prod_0188	Food	6	412.0	0.1			
T1000272	2023-09-19	S038	Store_038	Central	P0119	Prod_0119	Clothing	6	705.78	0.0			
T1000273	2024-10-04	S035	Store_035	West	P0061	Prod_0061	Stationery	7	509.96	0.05			
T1000274	2023-07-21	S034	Store_034	East	P0164	Prod_0164	Household	8	93.35	0.0			
T1000275	2025-07-04	S024	Store_024	Central	P0059	Prod_0059	Household	2	318.73	0.05			
T1000276	2024-12-27	S004	Store_004	Central	P0144	Prod_0144	Food	1	843.46	0.0			
T1000277	2025-04-03	S045	Store_045	East	P0067	Prod_0067	Beverages	9	942.5	0.0			
T1000278	2024-02-18	S005	Store_005	South	P0086	Prod_0086	Clothing	6	473.95	0.05			
T1000279	2024-06-29	S034	Store_034	East	P0186	Prod_0186	Stationery	4	931.37	0.1			
T1000280	2024-06-24	S023	Store_023	South	P0055	Prod_0055	Clothing	9	45.81	0.15			
T1000281	2023-04-05	S016	Store_016	Central	P0054	Prod_0054	Clothing	6	79.02	0.0			
T1000282	2025-04-13	S046	Store_046	East	P0045	Prod_0045	Electronics	9	933.96	0.0			
T1000283	2023-03-25	S007	Store_007	Central	P0130	Prod_0130	Toys	9	822.14	0.2			
T1000284	2023-10-19	S046	Store_046	East	P0111	Prod_0111	Stationery	9	529.68	0.05			
T1000285	2023-06-02	S050	Store_050	South	P0056	Prod_0056	Food	2	408.98	0.0			
